Year,Owner ID,Owner Name,Wins,Losses,Points For,Points Against,Final Standing,Champion,Sacko
2013,10,GW,9,4,1657.0,1319.0,1,True,False
2013,5,MS,8,5,1525.0,1329.0,2,False,False
2013,6,AK,7,6,1201.5,1275.5,3,False,False
2013,2,DW,8,5,1289.0,1283.5,4,False,False
2013,8,RP,5,7,1326.0,1381.0,5,False,False
2013,9,CC,5,6,1286.0,1409.5,6,False,False
2013,4,PM,6,6,1441.5,1405.5,7,False,False
2013,1,TM,5,8,1252.5,1385.5,8,False,True
2013,3,DK,5,8,1324.5,1456.5,9,False,False
2013,7,DP,5,8,1274.0,1332.0,10,False,False
2014,3,DK,10,3,1461.5,1269.5,1,True,False
2014,7,DP,8,5,1451.5,1410.5,2,False,False
2014,1,TM,9,4,1674.0,1328.5,3,False,False
2014,5,MS,7,6,1308.0,1343.5,4,False,False
2014,2,DW,5,8,1293.5,1418.5,5,False,False
2014,9,CC,6,7,1223.0,1321.5,6,False,False
2014,10,GW,6,7,1245.0,1349.0,7,False,False
2014,8,RP,4,9,1208.0,1195.0,8,False,True
2014,11,AC,5,8,1204.5,1310.0,9,False,False
2014,6,AK,5,8,1231.5,1354.5,10,False,False
2015,9,CC,7,6,1421.0,1354.5,1,True,False
2015,3,DK,7,6,1358.5,1341.5,2,False,False
2015,5,MS,8,5,1480.0,1397.0,3,False,False
2015,6,AK,10,3,1529.0,1233.0,4,False,False
2015,2,DW,6,6,1437.0,1432.0,5,False,False
2015,7,DP,6,7,1248.5,1307.0,6,False,False
2015,1,TM,6,6,1397.0,1262.0,7,False,False
2015,8,RP,6,7,1128.0,1247.5,8,False,False
2015,12,CR,2,11,1153.5,1486.0,9,False,True
2015,11,AC,6,7,1372.0,1464.0,10,False,False
2016,9,CC,11,2,1518.5,1270.5,1,True,False
2016,1,TM,9,4,1534.0,1362.5,2,False,False
2016,7,DP,7,6,1349.5,1336.0,3,False,False
2016,6,AK,7,6,1452.0,1401.5,4,False,False
2016,8,RP,6,7,1342.0,1305.5,5,False,False
2016,3,DK,6,7,1393.0,1366.0,6,False,False
2016,12,CR,4,9,1246.0,1345.5,7,False,True
2016,2,DW,6,7,1369.5,1440.0,8,False,False
2016,11,AC,5,8,1230.5,1296.0,9,False,False
2016,5,MS,4,9,1249.0,1560.5,10,False,False
2017,6,AK,9,4,1412.0,1150.0,1,True,False
2017,7,DP,9,4,1348.0,1211.0,2,False,False
2017,9,CC,8,5,1335.0,1205.0,3,False,False
2017,5,MS,8,5,1286.0,1231.0,4,False,False
2017,2,DW,7,6,1352.0,1289.0,5,False,False
2017,3,DK,5,8,1318.5,1424.5,6,False,False
2017,1,TM,4,9,1239.0,1402.0,7,False,False
2017,8,RP,6,7,1333.5,1297.5,8,False,False
2017,12,CR,6,7,1218.0,1367.5,9,False,False
2017,11,AC,3,10,1170.5,1435.0,10,False,True
2018,2,DW,9,4,1431.0,1368.5,1,True,False
2018,9,CC,9,4,1637.5,1437.5,2,False,False
2018,7,DP,9,4,1564.0,1415.0,3,False,False
2018,3,DK,7,6,1538.5,1427.5,4,False,False
2018,6,AK,7,6,1419.0,1496.0,5,False,False
2018,12,CR,5,8,1437.5,1580.5,6,False,False
2018,5,MS,6,7,1551.0,1507.0,7,False,False
2018,8,RP,4,9,1322.0,1433.5,8,False,True
2018,11,AC,4,9,1368.5,1532.5,9,False,False
2018,1,TM,5,8,1475.5,1546.5,10,False,False
2019,1,TM,8,6,1810.14,1541.88,1,True,False
2019,6,AK,10,4,1671.74,1517.44,2,False,False
2019,3,DK,10,4,1727.3199999999997,1522.04,3,False,False
2019,2,DW,10,4,1605.96,1493.14,4,False,False
2019,12,CR,6,8,1519.2800000000004,1478.22,5,False,False
2019,11,AC,7,7,1448.92,1568.0,6,False,False
