Owner ID,Owner Name,Most Drafted Player,Times Drafted,Drafted Seasons
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,Greg Olsen,5,2013 / 2014 / 2016 / 2017 / 2018
{4D8C84EB-2E3A-47C0-9B53-AFF14AC5EA37},CR,Cam Newton,5,2016 / 2017 / 2018 / 2019 / 2020
{D2E084E8-90D0-4D92-A341-932971F0D009},DP,Patriots D/ST,4,2014 / 2016 / 2017 / 2020
{EC205991-7770-43C6-94F0-5B719BD9243B},CC,Russell Wilson,4,2016 / 2019 / 2020 / 2021
{AB415A49-3D83-422A-815A-493D83822A7E},RP,Jarvis Landry,4,2016 / 2017 / 2018 / 2021
{8827089B-9EEF-41B4-A708-9B9EEF01B411},ac,Amari Cooper,4,2015 / 2020 / 2021 / 2023
{10A033CE-9579-464C-A7D6-40A19C59EDC4},TM,Rob Gronkowski,3,2013 / 2014 / 2016
{46A3A90B-4540-4E5B-ABF0-FF0CCED65E27},MS,Matt Forte,3,2013 / 2014 / 2016
{26E8FD9F-DA6F-434C-84A0-D666C2DDEC56},dk,Amari Cooper,3,2016 / 2017 / 2018
{09E9F913-BDB0-4950-9644-E139FB665A84},DW,Frank Gore,2,2013 / 2015
{C061D55B-465C-4196-A1D5-5B465C0196C1},MD,Jaylen Warren,2,2023 / 2024
{45D0A7E7-09F4-46A9-A645-D9916718BD78},GW,Adrian Peterson,1,2013
{AC461785-F6A3-4FE2-904F-9D3FB07C2316},PM,Aaron Rodgers,1,2013
{2B87250A-3130-4743-975F-64E7E7AFB389},WM,Eddie Lacy,1,2015
{882D18A7-6980-46C9-BE54-F0522A5CB984},MC,Travis Kelce,1,2024
