Owner ID,Owner Name,Year,Total Points,QB %,RB %,WR %,TE %,K %,D/ST %
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,2019,1610.44,21.6,28.38,25.08,5.87,8.57,10.49
{EC205991-7770-43C6-94F0-5B719BD9243B},CC,2019,1315.58,20.7,31.07,30.41,8.39,7.07,2.36
{4D8C84EB-2E3A-47C0-9B53-AFF14AC5EA37},CR,2019,1464.22,16.86,26.14,25.73,13.04,9.83,8.4
{D2E084E8-90D0-4D92-A341-932971F0D009},DP,2019,1416.86,21.06,22.81,31.48,8.49,7.34,8.82
{09E9F913-BDB0-4950-9644-E139FB665A84},DW,2019,1534.5,19.11,29.02,23.21,5.79,8.21,14.66
{46A3A90B-4540-4E5B-ABF0-FF0CCED65E27},MS,2019,1146.6,22.25,32.34,21.9,6.59,8.81,8.11
{AB415A49-3D83-422A-815A-493D83822A7E},RP,2019,1437.14,22.99,26.97,23.66,9.82,9.25,7.31
{10A033CE-9579-464C-A7D6-40A19C59EDC4},TM,2019,1743.92,22.68,28.91,23.49,8.3,6.77,9.86
{8827089B-9EEF-41B4-A708-9B9EEF01B411},ac,2019,1423.06,13.95,28.22,28.13,12.56,9.49,7.66
{26E8FD9F-DA6F-434C-84A0-D666C2DDEC56},dk,2019,1700.94,15.11,34.49,25.26,9.34,7.0,8.82
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,2020,1702.3,22.54,29.68,27.19,9.55,6.17,4.88
{EC205991-7770-43C6-94F0-5B719BD9243B},CC,2020,1465.66,23.82,23.94,24.88,7.85,9.07,10.44
{4D8C84EB-2E3A-47C0-9B53-AFF14AC5EA37},CR,2020,1348.02,18.96,35.04,24.44,8.65,7.2,5.71
{D2E084E8-90D0-4D92-A341-932971F0D009},DP,2020,1313.52,24.48,27.72,27.33,6.24,8.3,5.94
{09E9F913-BDB0-4950-9644-E139FB665A84},DW,2020,1374.82,21.04,24.29,32.38,6.58,9.16,6.55
{46A3A90B-4540-4E5B-ABF0-FF0CCED65E27},MS,2020,1660.76,21.29,30.69,25.39,7.09,8.67,6.86
{AB415A49-3D83-422A-815A-493D83822A7E},RP,2020,1421.88,22.34,20.1,26.44,10.93,9.92,10.27
