Week,Award,Winner,Players,Total Points
1,Highest Total Points,Hot Garbage,,175.78
2,Top WR (1),Noodle Noodle,Marvin Harrison Jr. (WR: 30.0),30.0
3,Top QB (1),Hot Garbage,Josh Allen (QB: 30.92),30.92
4,Top RB (1),Taysom Hill Gang,Derrick Henry (RB: 37.4),37.4
5,Highest Total Points,No Flex Red Zone,,178.48
6,Top Overall Player,Taysom Hill Gang,Chris Godwin (WR: 33.0),33.0
7,Top WR (2),Mike,Amon-Ra St. Brown (WR: 21.2); Stefon Diggs (WR: 4.8),26.0
8,Top RB (2),Noodle Noodle,Jahmyr Gibbs (RB: 22.8); D'Andre Swift (RB: 21.9),44.7
9,Highest Total Points,Hot Garbage,,156.78
10,Top QB & WR Combo,Team Donze,Aaron Rodgers (QB: 4.04); Ja'Marr Chase (WR: 55.9),59.94
11,Top D/ST (1),Team Donze,Texans D/ST (D/ST: 17.0),17.0
13,Highest Total Points,Matt Bryant,,148.5
14,Top K (1),Poopsville Crapflappers,Jason Sanders (K: 16.0),16.0
